Gene symbol,P-value (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),FDR step up (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),Fold change (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11)
ZNF22,9.37E-04,1.24E-02,-1.57E+00
CLK3,8.23E-04,1.14E-02,-1.57E+00
BX284668.5,2.19E-02,1.16E-01,-1.57E+00
MAP2,2.46E-01,5.13E-01,-1.57E+00
LETM1P2,4.26E-01,6.91E-01,-1.57E+00
AC127502.1,2.18E-01,4.80E-01,-1.57E+00
TNKS2,8.78E-04,1.20E-02,-1.57E+00
AL513497.1,2.01E-01,4.60E-01,-1.58E+00
ZNF43,2.02E-01,4.61E-01,-1.58E+00
WASHC1,6.66E-02,2.38E-01,-1.58E+00
GTF2A2,7.22E-02,2.51E-01,-1.58E+00
IQCH,3.10E-01,5.84E-01,-1.58E+00
ARL4D,4.71E-03,3.99E-02,-1.58E+00
DHRSX,1.28E-03,1.57E-02,-1.58E+00
ZCCHC24,1.19E-01,3.39E-01,-1.58E+00
PCLO,3.74E-02,1.66E-01,-1.58E+00
MUC1,2.56E-01,5.24E-01,-1.58E+00
PREP,5.18E-02,2.04E-01,-1.58E+00
E2F2,3.48E-03,3.24E-02,-1.58E+00
LINC-PINT,8.95E-03,6.34E-02,-1.58E+00
FAM83H,4.08E-05,1.30E-03,-1.58E+00
ST3GAL4,1.93E-01,4.51E-01,-1.58E+00
ZNF219,6.40E-03,4.96E-02,-1.58E+00
PDCD7,7.35E-06,3.45E-04,-1.58E+00
EFL1,2.30E-02,1.19E-01,-1.59E+00
PSAP,1.27E-07,1.34E-05,-1.59E+00
ZNF777,8.15E-03,5.94E-02,-1.59E+00
RBM24,1.50E-01,3.89E-01,-1.59E+00
ZNF710,1.30E-01,3.57E-01,-1.59E+00
THSD4,3.50E-03,3.25E-02,-1.59E+00
LINC02210,2.76E-03,2.76E-02,-1.59E+00
MICB,1.09E-02,7.23E-02,-1.59E+00
MTFR2,1.42E-02,8.66E-02,-1.59E+00
ROGDI,1.44E-02,8.73E-02,-1.59E+00
RHOB,4.10E-03,3.64E-02,-1.59E+00
FAM169A,8.57E-03,6.15E-02,-1.59E+00
DCST1-AS1,3.60E-01,6.34E-01,-1.59E+00
Sep-01,5.79E-02,2.18E-01,-1.59E+00
STAT5B,1.18E-03,1.47E-02,-1.59E+00
AMZ2P1,1.59E-01,4.04E-01,-1.59E+00
AL162231.1,1.46E-01,3.82E-01,-1.59E+00
ESRRA,3.58E-01,6.31E-01,-1.59E+00
MMD,1.67E-03,1.92E-02,-1.59E+00
TSPAN3,1.44E-02,8.78E-02,-1.59E+00
CPA4,1.19E-01,3.39E-01,-1.59E+00
AP001505.1,1.14E-04,2.76E-03,-1.59E+00
CFD,3.45E-03,3.22E-02,-1.59E+00
AC092952.1,1.16E-01,3.35E-01,-1.59E+00
PAXIP1-AS1,1.82E-02,1.02E-01,-1.59E+00
LRRC49,9.09E-03,6.39E-02,-1.59E+00
ARHGAP33,3.37E-01,6.11E-01,-1.59E+00
APLP1,9.49E-03,6.57E-02,-1.59E+00
TMCC1,1.50E-03,1.77E-02,-1.59E+00
FBXO32,1.95E-01,4.52E-01,-1.60E+00
XPO6,5.40E-04,8.54E-03,-1.60E+00
RALGAPA2,2.40E-04,4.78E-03,-1.60E+00
RHEB,1.04E-03,1.34E-02,-1.60E+00
TIMP2,5.35E-08,6.88E-06,-1.60E+00
TIMM23B,2.20E-02,1.16E-01,-1.60E+00
ACAA2,2.83E-04,5.41E-03,-1.60E+00
AP1S2,6.41E-05,1.78E-03,-1.60E+00
FURIN,6.73E-04,1.01E-02,-1.60E+00
MAP3K5,5.97E-03,4.73E-02,-1.60E+00
CCDC40,3.61E-01,6.35E-01,-1.60E+00
TMEM238,3.02E-02,1.45E-01,-1.60E+00
EXD3,1.38E-01,3.70E-01,-1.60E+00
SEL1L3,1.24E-02,7.97E-02,-1.60E+00
AC079140.2,2.31E-01,4.94E-01,-1.61E+00
TTC23,2.97E-03,2.89E-02,-1.61E+00
HPS1,4.33E-04,7.25E-03,-1.61E+00
GOLGA8N,1.46E-01,3.82E-01,-1.61E+00
PTGFRN,3.13E-03,3.00E-02,-1.61E+00
FAM171A1,7.57E-04,1.09E-02,-1.61E+00
SDC1,4.44E-04,7.41E-03,-1.61E+00
AC091057.6,5.61E-02,2.14E-01,-1.61E+00
PRKCE,2.72E-03,2.73E-02,-1.61E+00
LAMA5,7.02E-03,5.32E-02,-1.61E+00
DENND4A,2.82E-04,5.39E-03,-1.61E+00
FAN1,3.84E-03,3.47E-02,-1.61E+00
SYNJ2,1.79E-05,6.81E-04,-1.61E+00
MYLPF,2.47E-01,5.14E-01,-1.61E+00
PSKH1,3.06E-03,2.95E-02,-1.61E+00
FYN,7.33E-01,8.96E-01,-1.61E+00
EVA1A,8.94E-02,2.86E-01,-1.61E+00
SLC4A8,1.95E-01,4.52E-01,-1.61E+00
HOXB7,7.78E-02,2.62E-01,-1.62E+00
SMOC1,3.74E-02,1.66E-01,-1.62E+00
E2F1,3.77E-03,3.44E-02,-1.62E+00
OIP5,2.62E-01,5.31E-01,-1.62E+00
ZNF282,2.90E-04,5.50E-03,-1.62E+00
TBXAS1,1.41E-03,1.69E-02,-1.62E+00
SSH2,8.14E-03,5.94E-02,-1.62E+00
HSPA1A,5.32E-02,2.07E-01,-1.62E+00
FAM86C2P,1.42E-02,8.64E-02,-1.62E+00
LIG4,1.74E-02,9.92E-02,-1.62E+00
TANC2,6.21E-05,1.74E-03,-1.62E+00
SLC25A10,1.34E-03,1.63E-02,-1.62E+00
STRBP,2.07E-06,1.33E-04,-1.62E+00
SPRED2,1.89E-01,4.45E-01,-1.62E+00
SCAMP2,8.94E-05,2.28E-03,-1.62E+00
RCCD1,9.12E-08,1.01E-05,-1.62E+00
C2CD3,1.74E-03,1.96E-02,-1.62E+00
ZBTB40,5.18E-03,4.26E-02,-1.62E+00
VGLL3,1.13E-04,2.76E-03,-1.62E+00
ETS2,5.77E-05,1.66E-03,-1.63E+00
AC008610.1,1.41E-01,3.75E-01,-1.63E+00
CPNE2,5.92E-02,2.21E-01,-1.63E+00
MFGE8,1.77E-03,1.98E-02,-1.63E+00
PEX6,1.66E-01,4.13E-01,-1.63E+00
PANK1,1.78E-02,1.00E-01,-1.63E+00
AC009403.1,3.90E-02,1.71E-01,-1.63E+00
AC005632.2,1.24E-01,3.46E-01,-1.63E+00
ST3GAL5,9.21E-04,1.23E-02,-1.63E+00
IGFBP1,1.90E-01,4.46E-01,-1.63E+00
MINPP1,2.62E-04,5.08E-03,-1.63E+00
ARHGAP23,3.75E-04,6.53E-03,-1.63E+00
FAM185A,2.19E-01,4.81E-01,-1.63E+00
MAP2K4P1,1.53E-01,3.93E-01,-1.64E+00
ETNK2,1.77E-01,4.28E-01,-1.64E+00
C16orf95,3.24E-02,1.52E-01,-1.64E+00
ZNF618,5.15E-06,2.68E-04,-1.64E+00
SLC4A4,4.38E-02,1.83E-01,-1.64E+00
EGFL7,1.75E-01,4.26E-01,-1.64E+00
OSTM1,1.75E-03,1.97E-02,-1.64E+00
RILP,7.57E-02,2.58E-01,-1.64E+00
HINT3,1.46E-05,5.91E-04,-1.64E+00
AC139887.2,1.00E-01,3.06E-01,-1.64E+00
PERP,4.27E-03,3.75E-02,-1.64E+00
SMAD3,8.68E-07,6.72E-05,-1.64E+00
TSKU,2.02E-04,4.23E-03,-1.64E+00
GOLGA2P7,4.72E-03,4.00E-02,-1.64E+00
RPL17-C18orf32,3.40E-01,6.15E-01,-1.64E+00
MCTP1,2.56E-03,2.62E-02,-1.64E+00
RHOQ,1.58E-06,1.07E-04,-1.64E+00
SLC22A18,1.54E-02,9.16E-02,-1.64E+00
METTL21A,2.14E-03,2.29E-02,-1.65E+00
TOMM40L,1.29E-02,8.13E-02,-1.65E+00
CNNM2,1.09E-01,3.22E-01,-1.65E+00
SLC25A20,1.01E-01,3.08E-01,-1.65E+00
AC010460.3,2.36E-01,5.00E-01,-1.65E+00
NCOA1,1.14E-04,2.76E-03,-1.65E+00
TSPAN14,4.37E-03,3.80E-02,-1.65E+00
CRTC3,2.73E-02,1.35E-01,-1.65E+00
VPS33B,1.17E-03,1.47E-02,-1.65E+00
PTPRE,1.28E-01,3.52E-01,-1.65E+00
ZFAND4,8.31E-02,2.73E-01,-1.65E+00
GPAT3,3.61E-04,6.38E-03,-1.65E+00
SPEF2,1.48E-02,8.90E-02,-1.65E+00
PPP3CB,7.58E-04,1.09E-02,-1.66E+00
SLC25A51,4.17E-02,1.78E-01,-1.66E+00
IFIT5,5.03E-02,2.00E-01,-1.66E+00
MCOLN3,2.04E-02,1.10E-01,-1.66E+00
DLL3,1.47E-01,3.84E-01,-1.66E+00
KRT18P11,3.13E-01,5.87E-01,-1.66E+00
AC096677.1,1.19E-01,3.38E-01,-1.66E+00
AC010531.6,7.37E-01,8.98E-01,-1.66E+00
DENND4B,7.78E-04,1.11E-02,-1.66E+00
ATP6V1E2,3.31E-04,6.00E-03,-1.66E+00
SLC37A3,2.29E-03,2.41E-02,-1.66E+00
TIAM2,2.67E-01,5.38E-01,-1.66E+00
NKX3-1,4.07E-04,6.98E-03,-1.66E+00
FLYWCH2,1.00E-01,3.06E-01,-1.67E+00
SH2B2,1.08E-01,3.21E-01,-1.67E+00
AC144652.1,4.09E-02,1.76E-01,-1.67E+00
RHOQP2,1.45E-01,3.81E-01,-1.67E+00
AC105942.1,3.48E-01,6.22E-01,-1.67E+00
MAPK12,1.06E-03,1.36E-02,-1.67E+00
MFSD2A,3.57E-01,6.31E-01,-1.67E+00
KLHDC10,4.15E-04,7.06E-03,-1.67E+00
ACACB,3.16E-02,1.49E-01,-1.67E+00
SLC46A3,1.37E-02,8.46E-02,-1.67E+00
FLVCR1-DT,1.12E-01,3.27E-01,-1.68E+00
ATP6V0E2,1.17E-04,2.80E-03,-1.68E+00
KIAA1522,9.31E-03,6.50E-02,-1.68E+00
NCKAP5,1.61E-02,9.38E-02,-1.68E+00
CYCS,3.16E-05,1.06E-03,-1.68E+00
AC010999.3,2.25E-01,4.87E-01,-1.68E+00
MTFMT,1.15E-01,3.34E-01,-1.68E+00
RMDN3,4.02E-03,3.59E-02,-1.68E+00
AC073585.1,2.44E-01,5.09E-01,-1.68E+00
AC002558.3,1.18E-01,3.38E-01,-1.68E+00
C21orf58,3.48E-03,3.24E-02,-1.68E+00
TEAD2,1.21E-03,1.51E-02,-1.68E+00
TTC7A,2.12E-04,4.39E-03,-1.68E+00
MCRIP2,2.37E-03,2.46E-02,-1.69E+00
PPME1,5.33E-08,6.88E-06,-1.69E+00
SEMA4D,6.45E-02,2.34E-01,-1.69E+00
KLF5,5.85E-06,2.90E-04,-1.69E+00
LIFR,4.23E-04,7.15E-03,-1.69E+00
IMPDH1,1.13E-04,2.76E-03,-1.69E+00
PRKAR1B,1.88E-03,2.07E-02,-1.69E+00
PRICKLE2,2.19E-03,2.33E-02,-1.69E+00
OGDH,7.74E-05,2.06E-03,-1.69E+00
CYB561,1.10E-05,4.82E-04,-1.69E+00
KYAT1,6.82E-02,2.41E-01,-1.69E+00
SNORA67,1.40E-02,8.57E-02,-1.70E+00
BAHD1,1.55E-01,3.97E-01,-1.70E+00
FAM135A,1.41E-03,1.69E-02,-1.70E+00
PTPRF,5.41E-02,2.10E-01,-1.70E+00
MIPEP,1.28E-02,8.11E-02,-1.70E+00
RIN3,3.18E-03,3.04E-02,-1.70E+00
ALDH3B1,2.21E-05,7.97E-04,-1.70E+00
GSDMD,8.97E-03,6.34E-02,-1.70E+00
VPS18,1.15E-02,7.51E-02,-1.70E+00
SNAPC1,5.31E-07,4.53E-05,-1.70E+00
AVPI1,3.66E-06,2.08E-04,-1.71E+00
SVIL-AS1,7.20E-03,5.41E-02,-1.71E+00
AL445363.3,3.59E-02,1.62E-01,-1.71E+00
ALDH1B1,5.16E-07,4.50E-05,-1.71E+00
AL450998.2,2.13E-02,1.14E-01,-1.71E+00
GSTM4,8.76E-02,2.83E-01,-1.71E+00
CD38,2.59E-01,5.28E-01,-1.71E+00
SELENOM,2.10E-02,1.12E-01,-1.71E+00
GSTM3,5.99E-02,2.23E-01,-1.71E+00
SLC41A2,5.54E-03,4.48E-02,-1.71E+00
ACADS,1.05E-02,7.09E-02,-1.71E+00
NPTN-IT1,2.67E-02,1.33E-01,-1.71E+00
LYSMD4,2.67E-01,5.38E-01,-1.71E+00
MTMR10,9.91E-04,1.29E-02,-1.72E+00
SSH1,8.22E-05,2.14E-03,-1.72E+00
HDDC2,9.93E-04,1.29E-02,-1.72E+00
LLGL2,4.84E-03,4.06E-02,-1.72E+00
LNP1,1.63E-01,4.09E-01,-1.72E+00
TACC2,3.49E-04,6.22E-03,-1.72E+00
TRAPPC6A,1.68E-02,9.70E-02,-1.72E+00
SEMA3F,6.14E-02,2.26E-01,-1.72E+00
GOLGA8B,3.66E-07,3.35E-05,-1.72E+00
B3GNT2,8.71E-05,2.25E-03,-1.72E+00
JMJD7,3.77E-02,1.67E-01,-1.72E+00
UBE2Q2,1.24E-04,2.93E-03,-1.72E+00
SLC22A23,3.60E-03,3.33E-02,-1.72E+00
AL157777.1,9.70E-02,3.00E-01,-1.72E+00
DLG5,1.53E-06,1.05E-04,-1.73E+00
SULT1A1,1.01E-01,3.06E-01,-1.73E+00
DIRC2,6.86E-04,1.02E-02,-1.73E+00
RAPGEF1,6.19E-05,1.74E-03,-1.73E+00
Sep-04,2.49E-01,5.16E-01,-1.73E+00
Mar-02,3.96E-02,1.72E-01,-1.73E+00
FOXO1,2.76E-02,1.36E-01,-1.73E+00
HERC1,7.58E-07,6.02E-05,-1.74E+00
GOLGA6L4,6.50E-02,2.35E-01,-1.74E+00
CASD1,1.35E-03,1.65E-02,-1.74E+00
AC243964.3,2.66E-03,2.69E-02,-1.74E+00
DDN-AS1,1.09E-01,3.22E-01,-1.74E+00
SNX9,2.47E-05,8.76E-04,-1.74E+00
NECAB3,2.37E-02,1.22E-01,-1.74E+00
KIAA1147,6.06E-04,9.24E-03,-1.74E+00
ZFYVE19,4.37E-03,3.80E-02,-1.74E+00
AC069503.1,1.73E-01,4.23E-01,-1.74E+00
ZNF239,2.92E-01,5.65E-01,-1.74E+00
TTBK2,1.99E-03,2.16E-02,-1.74E+00
AL031009.1,2.01E-01,4.61E-01,-1.74E+00
CHMP4C,3.59E-03,3.32E-02,-1.75E+00
CYTH3,9.01E-04,1.21E-02,-1.75E+00
ATP6V0E2-AS1,1.55E-01,3.98E-01,-1.75E+00
LINC00641,3.55E-03,3.29E-02,-1.75E+00
FNDC3A,9.19E-04,1.23E-02,-1.75E+00
ARIH1,3.56E-04,6.32E-03,-1.75E+00
PDLIM2,2.28E-05,8.19E-04,-1.75E+00
FCGRT,5.21E-03,4.28E-02,-1.75E+00
PLXND1,2.22E-02,1.17E-01,-1.75E+00
TYRO3,1.30E-02,8.15E-02,-1.75E+00
MAPK6,6.27E-06,3.02E-04,-1.75E+00
HEXA,1.78E-04,3.86E-03,-1.75E+00
FOSL2,6.85E-08,8.37E-06,-1.75E+00
KIFC3,2.37E-02,1.22E-01,-1.75E+00
AP005482.3,1.40E-01,3.72E-01,-1.76E+00
PMS2CL,2.90E-05,1.00E-03,-1.76E+00
NDUFAF4,2.50E-04,4.92E-03,-1.76E+00
PDE4D,2.70E-06,1.65E-04,-1.76E+00
TOR2A,5.50E-02,2.11E-01,-1.76E+00
TPCN1,1.33E-05,5.58E-04,-1.76E+00
RDH13,8.80E-04,1.20E-02,-1.76E+00
PAPPA,8.12E-07,6.37E-05,-1.76E+00
PPP1R9A,3.10E-06,1.86E-04,-1.76E+00
EDC3,8.38E-04,1.16E-02,-1.76E+00
SMG8,2.16E-02,1.15E-01,-1.76E+00
AC108488.2,2.61E-01,5.30E-01,-1.76E+00
ZNF800,2.36E-04,4.73E-03,-1.77E+00
AL590428.1,2.61E-01,5.30E-01,-1.77E+00
RAVER2,1.81E-03,2.01E-02,-1.77E+00
RSPH3,1.56E-03,1.82E-02,-1.77E+00
MAPK11,3.92E-02,1.71E-01,-1.77E+00
WNT3,4.59E-02,1.88E-01,-1.77E+00
AC006453.2,2.90E-01,5.63E-01,-1.77E+00
AC245041.1,1.61E-01,4.06E-01,-1.77E+00
PXDN,2.99E-04,5.62E-03,-1.77E+00
SPAG1,1.60E-04,3.54E-03,-1.77E+00
FUK,3.00E-02,1.44E-01,-1.77E+00
COL16A1,2.44E-01,5.09E-01,-1.77E+00
CDON,1.58E-01,4.02E-01,-1.78E+00
EML2,1.13E-03,1.43E-02,-1.78E+00
ZMIZ1,1.22E-06,8.90E-05,-1.78E+00
MOCS1,1.24E-01,3.46E-01,-1.78E+00
CSK,8.96E-04,1.21E-02,-1.78E+00
FBXW4P1,3.36E-01,6.11E-01,-1.78E+00
AC012066.1,1.31E-01,3.58E-01,-1.78E+00
TUBGCP4,1.09E-04,2.67E-03,-1.78E+00
CELSR1,8.49E-03,6.12E-02,-1.78E+00
GSTO2,7.46E-02,2.56E-01,-1.78E+00
ZNRF2,1.69E-01,4.17E-01,-1.79E+00
AC000041.1,6.57E-02,2.36E-01,-1.79E+00
CPTP,3.65E-04,6.41E-03,-1.79E+00
TMUB1,3.19E-03,3.04E-02,-1.79E+00
ARHGAP5-AS1,1.41E-01,3.75E-01,-1.79E+00
RF00017,4.11E-02,1.77E-01,-1.79E+00
C15orf61,9.84E-02,3.03E-01,-1.79E+00
AC048382.2,2.48E-01,5.14E-01,-1.79E+00
TMEM121,1.24E-02,7.97E-02,-1.79E+00
ADCY3,4.82E-03,4.06E-02,-1.79E+00
OGFRL1,8.91E-04,1.21E-02,-1.79E+00
RPARP-AS1,6.25E-03,4.87E-02,-1.79E+00
KSR1,2.28E-03,2.41E-02,-1.80E+00
NUS1P1,8.01E-02,2.67E-01,-1.80E+00
CCDC121,5.39E-02,2.09E-01,-1.80E+00
ZNF34,1.10E-01,3.24E-01,-1.80E+00
PARD3B,2.17E-04,4.48E-03,-1.80E+00
MTMR11,5.53E-02,2.12E-01,-1.80E+00
CBX5P1,1.43E-01,3.77E-01,-1.80E+00
ANKH,2.38E-03,2.47E-02,-1.81E+00
STK32C,1.34E-06,9.49E-05,-1.81E+00
AC008581.2,4.74E-01,7.31E-01,-1.81E+00
TNNT1,4.65E-04,7.65E-03,-1.81E+00
GSTK1,3.56E-07,3.29E-05,-1.81E+00
GCA,8.49E-01,9.49E-01,-1.81E+00
PLEKHG3,5.87E-04,9.05E-03,-1.81E+00
PAIP2B,1.89E-01,4.44E-01,-1.81E+00
NRSN2,8.98E-03,6.34E-02,-1.81E+00
PCAT6,2.04E-01,4.64E-01,-1.81E+00
MITF,2.68E-05,9.35E-04,-1.81E+00
KHDC1,3.52E-02,1.60E-01,-1.81E+00
FAM110B,9.60E-03,6.62E-02,-1.81E+00
ABCC3,3.78E-09,6.93E-07,-1.81E+00
PIGBOS1,2.36E-03,2.45E-02,-1.82E+00
ZNF385A,2.16E-01,4.78E-01,-1.82E+00
CCBE1,1.76E-02,9.97E-02,-1.82E+00
AC104581.4,1.89E-01,4.44E-01,-1.82E+00
PXYLP1,1.42E-01,3.76E-01,-1.82E+00
LPCAT1,1.65E-05,6.53E-04,-1.82E+00
PPIF,1.04E-02,7.01E-02,-1.82E+00
PPFIA3,2.93E-01,5.66E-01,-1.82E+00
EMILIN2,5.58E-02,2.13E-01,-1.82E+00
ROBO3,1.64E-01,4.09E-01,-1.82E+00
SERAC1,3.07E-02,1.46E-01,-1.83E+00
HCN3,9.08E-02,2.88E-01,-1.83E+00
LMCD1,7.97E-05,2.10E-03,-1.83E+00
LINC00997,1.65E-01,4.12E-01,-1.83E+00
TRIM47,5.25E-07,4.51E-05,-1.83E+00
GTF2IRD1,3.90E-04,6.74E-03,-1.83E+00
LEPR,3.87E-04,6.71E-03,-1.83E+00
YBX3P1,8.12E-02,2.70E-01,-1.83E+00
AC022306.1,3.45E-03,3.22E-02,-1.84E+00
PIR,2.89E-05,1.00E-03,-1.84E+00
PROS1,8.08E-02,2.69E-01,-1.84E+00
LIMK1,2.37E-04,4.74E-03,-1.84E+00
ARID3B,4.70E-02,1.91E-01,-1.85E+00
LETM2,1.72E-01,4.21E-01,-1.85E+00
GLCE,1.86E-02,1.04E-01,-1.85E+00
ADCK2,4.34E-05,1.36E-03,-1.85E+00
MAFK,6.25E-05,1.75E-03,-1.85E+00
SRP14-AS1,4.43E-02,1.84E-01,-1.85E+00
NEK3,2.71E-04,5.20E-03,-1.85E+00
SLC41A3,1.54E-01,3.95E-01,-1.85E+00
VASH1,4.00E-02,1.73E-01,-1.85E+00
STN1,2.30E-02,1.19E-01,-1.86E+00
AL731569.1,1.77E-01,4.28E-01,-1.86E+00
AK9,5.67E-02,2.15E-01,-1.86E+00
SYNGR3,1.32E-02,8.25E-02,-1.86E+00
CYTH1,3.89E-03,3.51E-02,-1.86E+00
ZNF592,1.44E-06,1.00E-04,-1.86E+00
TNFSF13,1.24E-01,3.47E-01,-1.86E+00
ULK2,1.25E-03,1.55E-02,-1.87E+00
CLUHP3,3.58E-03,3.31E-02,-1.87E+00
BABAM2,7.48E-06,3.48E-04,-1.87E+00
FASTKD1,5.68E-05,1.64E-03,-1.87E+00
RPS2P55,1.71E-01,4.20E-01,-1.87E+00
HMGB1P3,6.26E-01,8.33E-01,-1.87E+00
TRAF3IP2,3.91E-04,6.74E-03,-1.88E+00
NT5C2,5.85E-08,7.45E-06,-1.88E+00
RAB27A,1.17E-03,1.47E-02,-1.88E+00
STARD5,1.41E-01,3.75E-01,-1.88E+00
ATP8B5P,7.26E-04,1.06E-02,-1.88E+00
AC091729.3,4.85E-03,4.07E-02,-1.88E+00
CAPG,1.77E-03,1.98E-02,-1.88E+00
RASA4,3.48E-02,1.59E-01,-1.89E+00
SLC16A5,3.67E-02,1.65E-01,-1.89E+00
PPIP5K1,1.19E-01,3.40E-01,-1.89E+00
CLGN,2.03E-03,2.19E-02,-1.89E+00
CCDC136,4.15E-02,1.78E-01,-1.89E+00
AFG1L,6.16E-02,2.27E-01,-1.89E+00
SLCO3A1,9.03E-01,9.66E-01,-1.90E+00
NECTIN2,1.35E-04,3.14E-03,-1.90E+00
AC012510.1,1.01E-01,3.07E-01,-1.90E+00
TSPAN15,9.39E-04,1.25E-02,-1.90E+00
CABLES2,4.21E-03,3.71E-02,-1.91E+00
AC007382.1,8.71E-03,6.22E-02,-1.91E+00
RBBP4P2,1.97E-01,4.54E-01,-1.91E+00
GAS6-AS1,9.54E-03,6.60E-02,-1.91E+00
LINC01186,2.89E-02,1.41E-01,-1.91E+00
SHB,2.70E-03,2.72E-02,-1.91E+00
MED30,3.42E-02,1.57E-01,-1.91E+00
FMN1,5.45E-03,4.43E-02,-1.91E+00
MRPL33,2.72E-05,9.45E-04,-1.91E+00
CU633904.1,2.37E-01,5.02E-01,-1.92E+00
CU634019.1,2.40E-01,5.05E-01,-1.92E+00
PTP4A1,2.53E-10,6.19E-08,-1.92E+00
LIMCH1,3.34E-11,9.92E-09,-1.92E+00
CLDND2,9.89E-02,3.04E-01,-1.92E+00
GRB7,8.24E-03,5.98E-02,-1.92E+00
OIP5-AS1,7.01E-09,1.18E-06,-1.92E+00
PPL,7.36E-01,8.96E-01,-1.92E+00
BEND7,2.47E-03,2.55E-02,-1.92E+00
C1RL-AS1,1.03E-01,3.10E-01,-1.92E+00
S100A4,1.47E-09,2.87E-07,-1.92E+00
CTIF,3.42E-02,1.57E-01,-1.93E+00
AC004233.3,8.21E-02,2.71E-01,-1.93E+00
AGO4,1.02E-02,6.90E-02,-1.93E+00
LRRC8C,7.20E-04,1.05E-02,-1.93E+00
HOXB-AS1,4.21E-01,6.87E-01,-1.93E+00
FRK,2.58E-04,5.02E-03,-1.93E+00
MEIOC,9.00E-01,9.66E-01,-1.93E+00
GGT1,4.11E-02,1.77E-01,-1.94E+00
UCN,9.73E-02,3.01E-01,-1.94E+00
RASSF4,4.60E-02,1.89E-01,-1.94E+00
HCG11,8.20E-03,5.97E-02,-1.94E+00
KRT86,5.85E-02,2.19E-01,-1.94E+00
GRAMD1B,2.49E-06,1.54E-04,-1.94E+00
PGBD4,4.62E-03,3.93E-02,-1.94E+00
SPTBN2,7.33E-02,2.53E-01,-1.94E+00
GGT7,7.91E-02,2.65E-01,-1.95E+00
CHCHD3P3,1.09E-02,7.23E-02,-1.95E+00
PLXNB1,5.15E-03,4.25E-02,-1.96E+00
PPARGC1B,8.99E-03,6.34E-02,-1.96E+00
MINDY1,3.39E-02,1.56E-01,-1.96E+00
CORO6,1.48E-02,8.90E-02,-1.96E+00
SERPINB9,2.34E-02,1.21E-01,-1.96E+00
DMXL2,5.86E-07,4.84E-05,-1.97E+00
AL354836.1,8.54E-03,6.14E-02,-1.97E+00
ICE2,9.54E-08,1.04E-05,-1.97E+00
PPP1R12B,5.09E-07,4.47E-05,-1.97E+00
CTSH,1.58E-02,9.28E-02,-1.97E+00
AL138762.1,2.29E-01,4.93E-01,-1.97E+00
C1orf56,3.67E-03,3.37E-02,-1.98E+00
BRSK2,1.39E-01,3.71E-01,-1.98E+00
CCT6B,2.05E-01,4.65E-01,-1.98E+00
MYO1E,7.93E-09,1.32E-06,-1.98E+00
AC034236.2,7.30E-01,8.95E-01,-1.99E+00
TBC1D2B,7.56E-04,1.09E-02,-1.99E+00
AC007388.1,4.42E-04,7.39E-03,-1.99E+00
TLR6,3.12E-02,1.48E-01,-1.99E+00
AC008105.3,8.69E-03,6.21E-02,-1.99E+00
NEIL1,5.11E-02,2.02E-01,-1.99E+00
GSDMB,1.98E-01,4.57E-01,-1.99E+00
A4GALT,1.30E-02,8.15E-02,-1.99E+00
MAN2C1,2.15E-03,2.30E-02,-2.00E+00
HSPA12A,8.85E-01,9.61E-01,-2.00E+00
NGEF,4.88E-02,1.96E-01,-2.00E+00
Mar-01,2.41E-03,2.49E-02,-2.00E+00
ENHO,1.31E-01,3.58E-01,-2.00E+00
MYOM2,4.48E-02,1.86E-01,-2.00E+00
GTF2IRD2B,6.10E-01,8.25E-01,-2.00E+00
REXO5,3.45E-02,1.58E-01,-2.01E+00
DIRAS3,3.44E-02,1.58E-01,-2.01E+00
LINC00857,6.51E-05,1.79E-03,-2.01E+00
AL138756.1,1.14E-01,3.31E-01,-2.01E+00
FARP1,5.37E-05,1.57E-03,-2.02E+00
PATJ,9.78E-05,2.45E-03,-2.02E+00
PRTFDC1,8.23E-03,5.98E-02,-2.02E+00
RDH10,2.98E-03,2.89E-02,-2.02E+00
ANGEL1,4.18E-02,1.78E-01,-2.02E+00
RHBDF2,4.91E-07,4.35E-05,-2.02E+00
CNFN,5.20E-03,4.27E-02,-2.02E+00
NHS,6.95E-08,8.39E-06,-2.02E+00
AC018629.1,4.89E-05,1.46E-03,-2.02E+00
SLPI,6.01E-01,8.20E-01,-2.02E+00
CHCHD10,1.81E-08,2.75E-06,-2.02E+00
AC026356.2,5.86E-02,2.20E-01,-2.02E+00
INAVA,1.01E-06,7.62E-05,-2.03E+00
NKILA,3.51E-02,1.60E-01,-2.03E+00
CORO7,2.16E-02,1.15E-01,-2.04E+00
GOT1,7.93E-07,6.26E-05,-2.04E+00
IL17RA,5.85E-05,1.67E-03,-2.04E+00
TLE3,4.84E-05,1.46E-03,-2.04E+00
KRT18P13,2.96E-02,1.43E-01,-2.04E+00
AP002387.2,2.91E-03,2.85E-02,-2.05E+00
BFSP1,3.24E-05,1.08E-03,-2.05E+00
ARNT2,2.35E-04,4.72E-03,-2.05E+00
LINC01003,1.83E-01,4.38E-01,-2.06E+00
SFXN4,8.66E-06,3.91E-04,-2.06E+00
SFN,1.50E-04,3.41E-03,-2.06E+00
